sentence,gpt_labels,warning,log,huggingface_labels,disagreement
"Het is om 't even, of dit in de raadzaal, op den kansel, of in 't gemeene leeven, geschiede.",[],False,,[],False
"Dat ick verdruckt nu worde vande mijn, Dit doet my d'alder-meeste pijn.",[],False,,[],False
In dezen zin is het enkele geleide intusschen gebruikelijker.,[],False,,[],False
"Over- tuig er u zelven van, de stad is het kijkjen waard.",[],False,,[],False
"Zeker zult gij, door hem voorgelicht, er wat vinden, dat gij niet gezocht, niet verwacht hadt; en als gij wilt, kunt gij hiermede uw voordeel doen.",[],False,,[],False
Maar de zinspeling zit nog dieper.,[],False,,[],False
"Daar kan ik me altijd kwaad om maken, daar word ik des duivels om, en 'k heb geen grooter pleizier dan dat ik hoor, dat de een of andere arme drommel een' rijke opgeligt of afgezet heeft, zóó dat 't hem niet aan de politie kan brengen.",[],False,,[],False
Haar pad zij louter licht en enkel waarheid; hare ϰϱίσις scherp als een tweesnijdend zwaard.,[],False,,[],False
"Amor zal leven, enz. Draagt alles met vereende kracht, O, dan knelt 't echtgareel zoo zacht, Dan drijft de min de zorgen weg, En liefde strooit u rozen.",[],False,,[],False
"In 't koor, voor 't hoogaltaar, zat Maria met het kind.",[],False,,[],False
"Nuttelooze pogingen werden erbij prins Frederik aangewend om, door eene rechtmatige uitwisseling van krijgsgevangenen, Ducpetiaux uit den kerker te verlossen; maar nauwelijks was de prins van Oranje, tijdens het vertrek van Frederik naar den Haag, voorloopig met het bestuur des legers belast, of hij schonk Ducpetiaux en zijne makkers de vrijheid weder, doch onder voorwaarde van zich op de eerste aanvraag op nieuw gevangen te geven.",[],False,,[],False
"Dat die aanvallen nog eenige sensatie hebben gemaakt, dat men ze hier en daar beslissend heeft geoordeeld en beslissend ten nadeele der moderne rigting op godgeleerd gebied; ik kan er mij niet genoeg over verwonderen; ik kan het alleen toeschrijven aan de oppervlakkigheid waarmede men leest, aan de traagheid waarmede men denkt.",[],False,,[],False
"DEn Hemel wil getuygen, De lichte Maan met al haar gulde sterren, Hoe wy ons herte buygen Voor 't licht dat staag ons sinnen kan verwarren, Wij roepen al, met bly geschal, de Mey is ons verschenen, Die ons uyt minne, dees groote Coninginne Komt verleenen.",[],False,,"[[175, 178, 'plants']]",True
"Elk goed middel daartoe huldigen wij en een ieder wende het aan op die wijze en met die vermogens, welke hij het meest daartoe geschikt acht, in overeenstemming met zijnen stand of met zijne kennis.",[],False,,[],False
"DE Vader sondt zijn Soone het Woordt liberale, Daer de kleene kinderen mede waeren in erven, Want ghelijck alle Menschen doodt waren principale, Door Adams onghehoorsaemheydt altemale, En moesten al ghelijck den doodt daerom sterven, Soo sullen nu alle Menschen het Leven verwerven, Door Christus ghehoorsaemheydt, sterven en verrijsen: Nu kan Adams sonde gheen Kinders Zielen verderven Hoe wel dat David spreeckt om den Heere te prijsen: Ick ben van sondighen Zade, der Wormen spijsen, Gheboren, en mijn Moeder heeft my in sonden ontfaen: En of men hier uyt d'Erf-sonde wilde bewijsen, Christus heeft naer Davids doodt die al voldaen: Maer wanneer de Kinderen goedt en quaedt konnen verstaen, Hun eyghen sonden brenghen hun in 's doodts doleuren, Als zy het goede laten, ende 't quaede nae-gaen: Want Godt en haet gheen Menschen tot gheenen uren, Maer de sonde diese doen, doetse van Godt afschueren, Nochtans is't Godts wille niet, dat daer yemandt zy verlooren Daerom heeft Christus de doodt willen besueren, En laet noch alle menschen een goede middel hooren, Dat alle die hem ghelooven, en van nieuws zijn herbooren, Berouw bewijsen, ghenade bidden om deughts vermeeren, 't Gheloove is een vast betrouwen op 't Woordt des Heeren.","[(471, 477, 'animals')]",False,,"[[471, 477, 'animals']]",True
"Agnes van Halewijn, idem idem idem.",[],False,,[],False
"Was ik als gy, 'k zou 't niet gedoogen, Dat zy de Inënting ondergong: Was ik als zy, hoe zoet je ook zong, Of wel begon met dreigementen, Ik zou my toch niet laten enten, Ondanks uw vaderlyk gezag.",[],False,,[],False
"Zijn gesprek scheen mevrouw meer te boeien dan Marianne, want deze gluurde telkens door de opening tusschen de stoelen, alsof hare aandacht ginds meer getrokken werd.",[],False,,[],False
"Daar echter, sedert eenigen tijd, de lust voor het Sanscrit, niet alleen in Engeland, maar ook op het vaste land, aanmerkelijk is aangewakkerd, zoo mogen wij met reden op volledige vertalingen der beide Heldendichten hopen, die ons alsdan een levendig tafereel van den Godsdienst, de zeden, de leefwijze en de kunst van het aloude Indië zullen geven, gelijk wij thans het vroegste Griekenland uit homerus best leeren kennen.",[],False,,[],False
weet gij kwaad van haar?,[],False,,[],False
"‘Lodensteyns gedichten,’ schreef hij, ‘zijn wel door vele stootende en mystteke denkbeelden en uitdrukkingen ontluisterd, maar ademen nogtans een geest van gemoedelijke godsvrucht, veel dichterlijk gevoel en vernuft en wijzen hem onder de godsdienstige dichters van vroegeren tijd geen onaanzienlijke plaats toe.",[],False,,[],False
"Ik berekende met een inwendig genoegen, hoe veel ik jaarlijks konde overhouden, wat ik in tien jaaren, want zoo lang zoude ik toch wel in Indiën moeten blijven, wel bij elkanderen zoude hebben.",[],False,,[],False
Den 20sten Juli des voormiddags om 11 uur werd de Beringstraat met in top geheschen vlag en onder salvos van 't geschut doorgevaren.,[],False,,[],False
"bl. 20; van Gils en Coppens, Nieuwe Bes.",[],False,,[],False
"Men stichte wijders voorschot-kassen of banken voor arbeiders, die willens zouden zijn zich te associeeren.",[],False,,[],False
"Bij wijze van Inleiding wordt ons hier eerst gegeven: eene lijst van de Heeren van Keppel, beginnende met dirk, in 1272, terwijl uit het Archief van het klooster Bethlehem nog een vroegere Heer wouter op het jaar 1200 vermeld wordt.",[],False,,[],False
"’ Zonder op de bleekheid der bevende Lina acht te geven, ging hy voort: ‘Nog kinderen zynde hebben wy samen gespeeld; iets dat wy niet begrepen, en dat nu in de dwingende vlam der liefde is veranderd, trok ons tot malkaer.",[],False,,[],False
"Maar mochten wy misdoen, wy mochten dan oock recht doen In Adam.",[],False,,[],False
"Niet genoeg kunnen wij onze landgenooten, en vooral het opkomend geslacht, tegen zulke verderselijke indrukselen waarschuwen.",[],False,,[],False
"Ontrent de middagh wiert het duyster, het welk d’ oppositie in Hollandt mede wel canseert.",[],False,,[],False
"Lijt, doortocht, kleine tydgang, II, 239.",[],False,,[],False
"Dit werk, in bevallig proza geschreven, heeft, onder de inkleeding van zedelijke romans, de loffelijke strekking om het hart met eerbied jegens God en zijne allesbesturende Voorzienigheid te vervullen, gemoedelijke pligtbetrachting en beteugeling der driften ten ernstigsten aan te bevelen; ook werd dit werk met graagte bij onze landgenooten ontvangen, en sels heeft zijn' meesten roem aan hetzelve te danken.",[],False,,[],False
"Het was niet zonder een gevoel van huivering en beklemdheid des harten, dat hy aan de huisdeur van De Witt klopte; - niet, dat hy eenige persoonlijke vrees koesterde voor den machtigen Staatsman, wien hy meermalen te voren, zoo ten Hove als elders, had ontmoet; maar de dienst, welke deze van hem zoû vergen, was van die natuur, dat Buat tegen het oogenblik opzag, dat hy beginnen zoû zich daartoe te leenen.",[],False,,[],False
"Vondel Herdacht, door Mr. J.E. Banck.",[],False,,[],False
"En toch beschuldigt hij deze van overmoed, van ligtvaardigheid.",[],False,,[],False
"Duchtigh, eerbiedigh, waerdigh.",[],False,,[],False
De paarden der ruiters begonnen onrustig te worden.,"[(3, 10, 'animals')]",False,,"[[15, 22, 'animals']]",True
"Uw doodelyke Schoonheyt heeft my uwen Patient gemaakt, en geen Geneesheer als uw Voorschoot kan my geneezen.",[],False,,[],False
"Nu, laat hij zich ook maar eens vrolijk maken, ik ben 't met mijn' flinken jongen.",[],False,,[],False
- Tocht der Spanjaards door het water.,[],False,,[],False
"Dit is een Heester-Gewas, waar van men twee zoorten onderscheiden kan.","[(11, 24, 'plants')]",False,,[],True
"‘Dat is moeder die u roept,’ zegt het duitsche gezichtje, welks beminnelijke eigenares Caroline heet.",[],False,,[],False
Anderen werden door haar aan den tegenwoordigen Minister van Justitie voorgedragen - een vernederend stilzwijgen werd van den kant van het Ministerie bewaard.,[],False,,[],False
"Zoo had Reginald al vele dagen en weken en maanden gereisd, toen hij op eenen zekeren morgen geene aarde meer onder de voeten had, maar de groote wereldzee voor zich zag.",[],False,,[],False
"Wasdom in het goede, 1 Cor.",[],False,,[],False
"gun mij eene opmerking, eer ik mijne opinie aan de uwe onderschik; wil luisteren met geduld, want zie, ik doe als de dichter: ik predik met gebogen knien; dus hoor mij zonder spijt: dames in 't gemeen zijn vrij goede opmerksters van der mannen aard en karakter; alleen.... waar het vrienden of vijanden geldt, vergissen zij zich weleens in de proporties, ziende de deugden der eerste in zoo ongelijkbare grootte door 't vergrootglas der teêrheid, en de gebreken der laatste in even dezelfde mate door dat van den afkeer, en in dezen verziet uwe Koninklijke Majesteit zich dus in den Minister van haren zoon, latende haar vermaard doorzigt en roemruchte wijsheid ietwat verschalken door de vijandschap.",[],False,,[],False
"“Vooruit, naar de missigit!” roept hij zijn manschappen toe; en zonder zich op te houden jaagt hij den wijkenden vijand na.",[],False,,[],False
't Is niet genoeg dat Gedaante en Beweeging door deezen genaloozen Vermeesteraar veroverd worden.,[],False,,[],False
"Men bid hun, dat zy dezelve noemen zouden.",[],False,,[],False
"De stofwolk, die tot nog toe over de Steppen hing, wordt ijler, verdwijnt en laat het azuur des hemels wederzien.",[],False,,[],False
"Dat ze hier in godsdienstige overtuigingen moesten gelegen zijn, noemde don Buenaventura natuurlijk.",[],False,,[],False
"Dan wel, hij leert dit voortgaan van ontgoocheling tot ontgoocheling als de wet van zijn hooger bestaan erkennen, en vindt met welgevallen in zichzelven een beeld van Boeddha, den ontwaakte.",[],False,,[],False
"Die zamenstelling van een rede uit volzinnen, en van de volzinnen uit zinsneden of leden, wordt in het schrift door de scheidteekens aangeduid.",[],False,,[],False
"Die haer hebben bekeert, van des luijheyts welpen, Sijn soo wel sy, als wy, deur neersticheyt beurijt.",[],False,,[],False
"- Het zal mij hoogst aangenaam wezen, indien gij mij het klemmende van deze wijze van argumenteren eens wilt aantoonen; want het heeft mij nog niet regt helder willen worden, hoezeer ik volgaarne erken, dat een en ander bijzonder vernuftig is voorgesteld, en eenen hoogst zeldzamen graad van scherpzinnigheid en vindingrijkheid (verschoon dit woord) aanduidt.",[],False,,[],False
"Achter het voornaamwoord van den tweeden persoon wordt het substantief geacht in den vocatief te staan: alzoo heeft dan het adjektief den vorm van den nominatief: u, arme man.",[],False,,[],False
"‘Dat, indien t'eeniger tyd gebeuren mogte, dat de voornoemde van Hoorn en Schuurman, na dat dezelve de voorsz: Colonie eenmaal anngenomen zullen hebben, t'eeniger tyd genootzaakt mogten werden, dezelve te abandonneren, en hen met hunne Slaven en Effecten van daar te retireren naar eenige Colonie van de Westindische Compagnie, dezelve zulks t'allen tyden vryelyk zullen vermogen te doen, zonder daar voor iets te betalen; voorts ook dezelve effecten en slaaven tot aanlegginge van eenige Plantagies mogen gebruiken, of anders verkopen, en te gelde maken, zoo als zy best zullen kunnen, ten ware Bewintheb-beren dezelve goedvonden aan te neemen, ten pryse als dezelve aldaar waardig zullen zyn.",[],False,,[],False
My voorstellen dat ik myn lot met het uwe zoude vereenigen.,[],False,,[],False
"81 Ter Bruilofte van den Heere Antoni Hartigsveld, en Mejuffer Maria Elisabet van Ruytenburg.",[],False,,[],False
"is dat die jongeling niet, die deze nacht...",[],False,,[],False
"Naar Parijs, 39.",[],False,,[],False
"hervatte de andere: hij kon immers degenen, dien het aangaat, zelf straffen, en - hij laat zulks aan God over.",[],False,,[],False
Is sy nut int gemeen?,[],False,,[],False
"Dus altijd verlangende en dorstende naar de druiven - met een grond voorbeeldeloos geschikt om de geurigste druif te leveren, indien slechts het duizendste gedeelte van de moeite en zorg daaraan werd besteed, die voor het opbloeien van doornen worden aangewend - leeft hij nu in een ontevreden stemming, steeds met inspanning zijn misnoegde opwellingen tot kalmte en berusting plooiende, en slechts in staat zich voor het gemis van het tegenwoordige te troosten met het vooruitzicht van zwellende, saprijke vruchten..... in de verre toekomst.",[],False,,"[[44, 51, 'plants'], [108, 113, 'plants'], [236, 243, 'plants']]",True
En de meerderheid der Kamer heeft de Regeering daarin trouw ter zijde gestaan.,[],False,,[],False
"’ ‘Meester Keno moge de Heiligen niet zoo volijverig dienen, als ik wel wenschte,’ sprak Hilda, ‘maar zijn hart is goed, en ik zou bijna verlangen hem altoos om mij en bij mij te hebben, zoo hij mij slechts zoete avonturen uit de geschiedenis vertelde, en ik hem mogt lezen, wat er in de schriften der klerken staat van schoone moraliteiten en goede werken.",[],False,,[],False
"In Duitschland waren de Mysteriën nog in vollen gang, toen luther en melanchton het Hervormingswerk aanvingen.",[],False,,[],False
"Hij vestigde zich als advokaat in den Haag, en verkreeg als zoodanig spoedig een grooteren naam.",[],False,,[],False
"Het werd eindelyk avond, de herders dreven hunne kudde naer huis en bliezen hun avondlied.","[(49, 54, 'animals')]",False,,[],True
Doch van Alouds zijde waren er eenigen gesneuveld.,[],False,,[],False
"Teerste deel sal beconden Van den vij dootliken sonden, Elc geset met haren graden, Daer men in sondicht bi mesdaden; Dander pertie sal ic leren Van den x gheboden Ons Heren, Hoe dat men daer tegen mesdoet; Daer na sal ic u maken vroet Welc sijn dagelijcsche sonden, Ende welke die ziele ter doot wonden; Die derde partye es van drie saken, Die den mensche zalich maken: Dats biecht, rouwe ende voldoen Der sonden, die men heeft gheploen Ende hoe hem oec elc sondare Sal biechten moeghen, wel ende clare, Met vi poenten, min no mee.",[],False,,[],False
"Myne onschuld, myne eer, myn Character, myne rust des gemoeds, de gunst van mynen Maaker, de verstandlyke, de zedelyke, de huislyke, de Godsdienstige geneugten, die ons bestaan op deeze wereld veredelen, en ons lot verzagten.",[],False,,[],False
"In mijne jonge dagen was bankroet nog eene schande; in dezen tijd van..... vooruitgang is dit een zeer gewoon iets, zegt men, en bankroet wordt een zeer..... eerlijk middeltje om zijne lastige schuldeischers van den hals te schudden.",[],False,,[],False
"Voor het doel dat de Maatschappij bij de instelling dezer levensberigten voor oogen had, verwacht men van dezulken geen uitvoerige vermelding en de man wien het nu geldt, was te warsch van ijdele praal dan dat meerder dan deze vermelding, zijne begeerte zou kunnen geweest zijn.",[],False,,[],False
"Aen minen vader den hoghen baroen, Dat hi u bringhe uut desen prisoen Dat sal mine ierste bede sijn.",[],False,,[],False
"Gaat men nu in de genomene rigting voort, zoo komt men bij den Pnyx, het oude spreekgestoelte der Atheners.",[],False,,[],False
"Vrouwen van myne jaren moeten alle brave jonge Juffrouwen als hare kinderen beschouwen, voor al, als de dood haar hare Ouders ontnomen heeft.",[],False,,[],False
"Op veel zedelijkheid konden zij dus geen aanspraak maken, daarvoor waren zij te beginselloos.",[],False,,[],False
De dorpen Daigny en d'Haybes werden door de Pruisische garde ingenomen.,[],False,,[],False
"----- Dit algemeen heerschen dezer Ziekte schynt ook gelegenheid gegeven te hebben, dat eenige dezelve besmettelyk hebben genoemd; ----- anderen menen, dat ze om de zeven jaren wederom komt; ----- dan, dit vereischt meer bewys.",[],False,,[],False
"Juyg sijn Loff; en prijs doch hem, Hy die waerdigh is te prijsen Die u Minnens-Spiegel thoont: 'kSie 'tGedicht ten wolcken rijsen, 'tWort met Lauwer-blaen bekroont. 'kMoet u, soete Nymphjens vragen, Die hier uwe woon-stee houdt In het prachtigh 'sGraven-Hage, Of by't tellig-rijcke Wout, Of by 'sVijvers soete stroomtjes, Daer, by't toorts-licht, 'tsoet geluyt, Onder d'schaduw' van de boomtjes, Ruyssen 'sMinnaers-klachtjens uyt.",[],False,,[],False
"Wat zij daar merkwaardigs hebben te verkondigen, heeft niemand ons tot heden kunnen verklaren.",[],False,,[],False
"Er is een middel, dat er onfeilbaar kracht voor geeft: het ernstig streven naar waarheid.",[],False,,[],False
Het Handelverloop snelde met vaste schreeden voort.,[],False,,[],False
"Hy steekt de krygstrompet en volgt de legertogten, Of schildert zee en lucht en wout en paradys.",[],False,,[],False
"Langzamerhand begon nu de band, die stralenheim aan angelique verbond, hem te kwellen.",[],False,,[],False
"Voorwaarden: Belg van geboorte of door naturalisatie, minder dan 30 jaar oud; de primus bekomt gedurende vier jaren een jaargeld van 4000 fr. om in het buitenland te studeeren; de jury kan als 2e prijs eene belooning van 300 fr. en eene eervolle melding toekennen; er worden slechts zes mededingers toegelaten; zoo er zich meer aanbieden, wordt een voorafgaandelijke kampstrijd gehouden.",[],False,,[],False
"Tegelijkertijd werd de Dirkctie van het Paviljoen te Haarlem geheel en uitsluitend in handen van den heer Pieneman gesteld, totdat in 1847 de zaken andermaal gewijzigd werden.",[],False,,[],False
"Hij berigt, hoe hij, den 14 Augustus 1836 van Gueyaquil in Zuid-Amerika vertrokken, den 29sten der volgende maand in het gezigt kwam van het eiland Hawaii of Owaihi, hetzelfde, waarop cook zijnen dood gevonden heeft.",[],False,,[],False
"een volksboek naar het Hoogduitsch van dr. Ferdinand Stamm, 290 blz. Boekhandel van J. Vuylsteke, opvolger van W. Rogghé.",[],False,,[],False
"O goeden Godt wat en hebt ick doen niet gheweent, wat traenen niet ghestort, wat suchten niet ghestiert naer den hemel!",[],False,,[],False
"Eenigzins beschaamd over zijnen toestand had hij gehoopt er gansch alleen te zijn, en nu omringden hem een zestal kaartspelers, die, nog met den troef in de hand, nieuws-gierig rondom hem stonden.",[],False,,[],False
"Men is jong en vol hoop en vuur; mocht die hoop niet verijdeld worden en dit vuur niet in rook opgaan, dit ware wenschelijk voor onze gezamentlijke Nederlandsche kunstontwikkeling.",[],False,,[],False
weende het meisje met haar voorschoot voor de oogen.,[],False,,[],False
Met edelmoedigheid komt men niet verder; alleen hooghartig sarkasme kan ons in het gewoel redden.,[],False,,[],False
"Wel kampen zij beiden hardnekkig tegen hun hartstocht, doen zij hun best elkander zelfs niet meer te zien.",[],False,,[],False
zijt gij wel zeker dat het waar is?,[],False,,[],False
"Het valluik van dit duister verblijf opent zich dienstvaardig, en biedt elken vermoeiden voorbijganger eene vrijplaats aan.",[],False,,[],False
"Waar toe de Biechte 't kragtigst middel is, dat ooit tot sterkinge der paapsche heerschappye over de conscientien der menschen is bedacht geweest.",[],False,,[],False
"Past men die vraag op onze aanbidding van Jezus toe, dan hebben wij derhalve eenvoudig te bewijzen, dat God aan hem het bedoelde regt heeft toegekend.",[],False,,[],False
"’ De storingen zelven worden in twee hoofdsoorten onderscheiden, periodieke en seculaire.",[],False,,[],False
"Ik zal voor niemand immer vreesen, Om dat de Heere met my is, Wat kan een mensch, van sterflik weesen, Dan doen, tot myn bederffenis?",[],False,,[],False
"Compian onderhieldt eene bestendige briefwisseling met sayd, en elke brief, dien hy schreef, was met traanen besproeid.",[],False,,[],False
"Geene zonnestelsels bewegen zich aan den hemeltrans, maar het “fatum” verpligt ons de zon, maan en sterren te zien in de ruimte.",[],False,,[],False
- De dood sprak uit zijn stem.,[],False,,[],False
"By ons zegt men niet: indien gy myne zusters ziet, geef haer dit geld, maer geef hun dit geld.",[],False,,[],False
De zorgen der zieken deden hem het studeren en het schryven niet vergeten.,[],False,,[],False
"In 1725 verloor de dichter zijne moeder, en vervaardigde bij die gelegenheid een lijkzang.",[],False,,[],False
- Laet ons met vrede!,[],False,,[],False
"Men moet de Stonden doen komen, zo zy opgehouden zyn; Wat de Genees-kunst aangaat, men zal het zelfde, als in de verstopping der Milt aanmerken.",[],False,,[],False
"Toen de voorste ruiter het einde van het renperk bereikt had, waar een escadron pandoeren of hongaarsche ruiters het opgewonden volk in bedwang hield, brak een storm van toejuichingen los en weerklonk een duizendstemmig Eljen!",[],False,,[],False
Dergelyke voortbrengselen zyn gewoonlyk uitmuntend; immer bezitten zy een karakter dat men te vergeefs in andere tafereelen zou willen ontdekken.,[],False,,[],False
"Hadden zy gedagt, dat daaraan der Landen dienst gelegen was, zy zoudenze geene twaalf jaaren hebben mogen verzwygen.",[],False,,[],False
"Dezelfde rapat veroordeelde drie ellendelingen, die een jong meisje op eene afgelegen plaats vermoord hadden, na haar vooraf afgrijslijk mishandeld te hebben, tot de betaling gezamenlijk (dus elk voor één derde) van den bloedprijs, zonder meer Keeren wij, na deze korte beschrijving van het regtswezen op Sumatra's Westkust, waarbij ik partij heb mogen trekken van plaatselijk verkregen inlichtingen, van gehouden gesprekken met deskundigen, en van een uitvoerig opstel in de Sumatra-Courant (September 1862 - Januarij 1863), tot de algemeene vergadering te Fort de Kock terug.",[],False,,[],False
"En 'tleven Christi moet altijdt Den synen onghehoont, Openbaer heeft vertoont.",[],False,,[],False
"Soo haest de risp heeft afgeleydt haer swarte vellen, Vliegt door geheel het huys, en gaet de menschen quellen, Komt ongenoot te gast, en om de lichten swerft, Gaet nestelen in 't bont, en menigh kleet bederft.",[],False,,"[[13, 17, 'plants']]",True
"Maer als hy door schranderheit van geest het gewelt der pest voorzien had, die Athenen en de Griexe steden stont op te komen, heeft hy voor haer zoo wel als voor zyne leerlingen gezorgt.",[],False,,[],False
"Is de blinde partygeest gevaerlyk, hy is het vooral in een niet volkomen gelykslachtig land.",[],False,,[],False
En al konden wij met die handvol ongeregelde ruiterij volstaan: van waar nog zal men ze bekomen?,[],False,,[],False
Mevrouw Melder lachte weder schamper en keek haren man opnieuw met een medelijdenden glimlach aan.,[],False,,[],False
"Dies so gy schildert wilt hem mee vercieren, En krans sijn hooft met groene Lauwerieren.","[(76, 87, 'plants')]",False,,[],True
Inderdaad heeft hij evenals Rodbertus een tijd-lang op Bismarck zijn hoop gezet.,[],False,,[],False
"Gy bent getuigen van de zwaare eeden, Die wy te zamen zwoeren aan dees vliet: Maar zy ontrouw met my in ‘t minst te vreden; Verbreekt haar eer en laat myn in ‘t verdriet Ontrouwe maagt waarom u eet gebroken, Die gy zo dier aan my gezworen heeft; Uw valschen eed zal niet zyn ongewroken: Dus is het tyd dat gy voor Iupyn beeft.",[],False,,[],False
