sentence,gpt_labels,warning,log
"hebben geërgerd, dat zij het onnatuurlijke en onbehagelijke beeld van een dichter, parturiens montem en enixus murem, daarvoor in ruil wenschen te ontvangen.","[(111, 116, 'animals')]",False,
"Hij zag de lucht door de langdurige zomerwarmte, die zoo gunstig voor het rijk der planten was geweest, verpest; de zware uitwaseming van moerassen van dieren en planten, ja, van de geheele landstreek maakte vooral de lucht, die tot het leven noodzakelijk is, doodelijk.",[],True,Multiple occurrences of 'planten' (plants)
"want ik weet wel, dat jij een aardsch platjen bent, en dat mag ik wel zien; ik wou dat keetje ook zo wat potzig was, doch daarom niet, ieder heeft zijn humeur: zie, bet-lief, ik vertrouw je niet verder dan ik je zie; doch is het waarlijk zo, dan moet ik bekennen, dat er meer gekken buiten dan binnen de zottehuizen zijn: want, ik voor mij kan niets doller bedenken, dan dat ik mij airs geef op bedrijven, die lang gebeurd en vergeten waren, eer ik op de wereld kwam; en van al dat gevecht houde ik niet meer, als van den oorlog: ja, ik ken die driftige potentaten die aanstonds op hun paard zijn; uw Oom is ook schrikkelijk driftig, als hij boos wordt; en zo hij een generaal of zo een ding was, zou hij zijn man wel staan durven, dat moet ik hem ter eere nageeven: ik versta al het overige niet recht, en geloof dat je Tante zo wat fopt, of voor 't mafje houd: nu, als je moeder het maar niet weet is dat niet met al; ik knor wel op mijn volk, maar niet uit grootschheid, en om dat ik van adel ben, maar om dat ik allen betaal om mijn' zin te doen; ofschoon mijn hoofd niet wèl staat.","[(586, 591, 'animals')]",False,
"Paarden en sleeden, wagens en rydtuigen van allerlei soort, op loopyzers geplaatst, doorstreeven de golf en meiren langs de zyden der Schepen heen, die in het ys beklemd liggen, en, om zo te spreeken, versteld staan, op dit element zich dus omringd te vinden.","[(0, 7, 'animals')]",False,
"Neemt het water van gezegende Distel, of derzelver afziedzel, of een drachme poejer van gezegde Distel, en doe ’t zieke Kind drinken.",[],True,Multiple occurrences of 'Distel' (plants)
"En waarom is nu het verhaal van eene gebeurtenis, die voor een wonder moet gehouden worden, voor iemand geen hindepaal om des schrijvers berigt voor geloofwaardig te houden?",[],False,
"De reizende moest zich op gebaande wegen houden, en den horen blazen, zou hij niet voor eenen dief aangezien worden (bl. 33).",[],False,
"Alsof de wetten en grondregelen uwer schoolgeleerdheid iets vermochten tegen den ontzaggelijken bol die daar staat te vlammen boven het geblakerde aardrijk, tegen den zonnegod die hier alléén regeert!",[],False,
"By my van den Libanon af, ô Bruid, komt by my van den Libanon af: ziet van den top van Amana, van den top Senirs ende Hermons, van de wooningen der leeuwinnen, van de bergen der luipaarden.","[(148, 158, 'animals'), (178, 188, 'animals')]",False,
"Dit nu konnenwe als natuurlyk zynde, met even zoo veel grondt van redenen, van den Eilandschen Walvisch denken, vermits het ons niet alleen natuurlyk, maar ook gebeurlyk toeschynt, want we met zeer goede opmerking, ’t gemelde afzakken der Walvisschen in Groenlandt zelf verscheiden maalen hebben ondervonden.","[(95, 103, 'animals'), (239, 250, 'animals')]",False,
"De mensch heeft, gebruik makende van zijn meer voordeelige organisatie, misschien van een kleine fysieke superioriteit, de andere diersoorten er onder gehouden.","[(130, 141, 'animals')]",False,
"Door 't soet verthoonen, van u root gebloosde wangen: Godin des dageraets, verrijckt met Phoebi gloet, Soo dat ghy Bosch en Velt seer çierlijck çieren doet: O aengenaem vermaeck van soete somer dagen, Die 't dor gheboomte doet weer nieuwe vruchten dragen; En çiert de Telghjes op met groen bepronckte blaen, En inde soete Mey neemt nieuwe spruytjes aen; 't Soet geurich kruytje dat sich spreyt langes de velde, Ken ons 't getuygenis van uwe soetheyt melde: Verstreke Lenten die met u verliefde rey, De blyde bootschap brenght van d'aengename Mey: Een tijt, een soete tijt, een tijt, die men mach noemen Een vreuchde voor de Ziel, door 't çiercel uwer Bloemen, De Kruyden soet van geur, die ghy te voorschijn brenght, Die sijn met alle vreucht, en soeticheyt vermenght: O aengename Mey, die Velden, en Rivieren, Die Bosschen vol geboomt, met schaterende dieren, Het oogh, en oor verleent, waer door d'aenschouwers hert, In 't hooren, als in 't sien met vreucht onsteken wert, Aensiende 't schoon ghebloemt, de Bosschen en de Boomen, Geberchte, en valley, met klare water stroomen, En ruyschend' soet gedrangh dat door de Bergen vliet, En uyt de beeckjes steets zijn snelle driften schiet: Aensiende 't pluym gediert, met volle kropjes uyten, Een soet getierelier, en lieve deuntjes fluyten: Wat hert verheugt sigh niet, wanneer het maer aenschout, Hoe dat het soet gediert (gepaert) te samen hout?","[(212, 221, 'plants'), (268, 276, 'plants'), (370, 377, 'plants'), (651, 658, 'plants'), (663, 670, 'plants'), (828, 835, 'plants'), (995, 1004, 'plants'), (1024, 1030, 'plants'), (1201, 1214, 'animals')]",False,
Den staet des vaderlants/ V Princelic gemoet Becommert houdende' es/ En overdencken doet/ Wat tsevencopte beest Jn zijn Madrilsche nest Nu wonders broet en brout: Wat Nero wreet bedenct.,"[(94, 111, 'animals')]",False,
"De paus nam eenen droogen stok, Heeft in den grond gedreven: ‘Wanneer dees stok eens rozen draegt, Dan is uw kwaed vergeven.’ 13.","[(85, 90, 'plants')]",False,
"AUroor in 't rood gewaad, Kwam met de dagenraad, Toen Pietje zyn beminde vand, By haare Koetjes in het land, Heel lief, heel lief, Riep hy myn honing dief.","[(88, 95, 'animals')]",False,
"Dit en de verdere wonderen, die men uit bosschen en zeeën te voorschijn haalde, en in aanraking bragt met de goden en godinnen, aan den Olympus ontschaakt, waren voortbrengselen van dezelfde vinding, die walvisschen en leeuwen en Herculessen het leven gaf, bij de huwelijksfeesten van Margaretha van York.","[(204, 215, 'animals'), (219, 226, 'animals')]",False,
"Zoo zal een vreemdeling, een worm, het hoogste woord Hier boven voeren, en een ingeboren zwichten Voor vreemde heerschappy?","[(29, 33, 'animals')]",False,
"De wortel van de opregte plant Eleochrysum maakt een regte steel, digt en hard, gelyk hout; en is maar een el hoog.","[(17, 30, 'plants'), (31, 42, 'plants')]",False,
"Ja, het zoeltje tusschen de bladeren spelend, het zoete geruisch van het beekjen, de vogelen in het loover zingend, de bloemen zelfs der weide, op hunnen stengel lispelend, - alles scheen hem eenen naam toe te fluisteren, - Maria.","[(28, 36, 'plants'), (119, 126, 'plants'), (85, 92, 'animals')]",False,
"Even als hier het eierenmannetje zoo zagen wij in bijna alle andere straten aan de hoekhuizen beelden van heiligen, de meesten heel lelijk en smakeloos.",[],False,
"Pip, der hoenders.43 Pis dryven en afsetten.39, 43, 59, 73, 80, 84, 93, 138, 144, 147.","[(9, 17, 'animals')]",False,
Zoo: de boer bij Garderen's waterput; de oude dominé en de linde van Garderen's pastorie; het binnenhuisje aan 't Uddelermeer en dat der beide oudjes met hun pleegkind.,"[(59, 64, 'plants')]",False,
"Doen in't beswaer, Der slavernijen waer Gods volck met groot misbaer, By Pharoos tijden Seer wonderbaer Heeft Godt al uyt gevaer, Willen verlossen haer Ende verblijden, Maer eer dit soud' geschieden Moest het Paesch lam weerden geslacht, Al in der middernacht, Gegeten met aendacht Waer by sy Godts almacht, En weldaet hoogh geacht Souden belijden.","[(209, 219, 'animals')]",False,
"‘Juhann,’ riep hij, ‘laat den hond vrij!","[(30, 34, 'animals')]",False,
"Wanneer gy dan, by de aandagtige vervrolykende beschouwing der Bloemen, de verhevenste denkbeelden van derzelver grooten Formeerder vormt; dan zal uwe Ziel een waar genoegen smaaken, het geen zy altyd zal kunnen genieten, wyl deeze bron te ryk is, om immermeer uitgeput te kunnen worden.","[(63, 70, 'plants')]",False,
"k'geloof 't wel men can't aen syn postuer wel bemercken, dat rymen moet gelyck een tangh past op het vercken: Boer.","[(101, 108, 'animals')]",False,
"Alwie in den Gouden Leeuw bleef slapen, moest den grond voor legerplaets, den leuning eens stoels voor kussen en eenen bond stroo voor pluimen bezigen.","[(124, 129, 'plants')]",False,
"Item, heeft oick dese tuych gehoirt van anderen luyden, dat Willem die cuper oick geseit soude hebben, dat die apostelen om haer misdaet gerecht syn, gelyck een dyff, die men om diefte aen de galge hanget.",[],False,
"Zij reden echter op geen ezeltje, maar sukkelden, met slependen gang, de achterbuurten rond.","[(25, 32, 'animals')]",False,
"In de 17de eeuw bijv. maakten de Franschen nog de intervallen tusschen de bataillons der eerste linie gelijk aan hunne frontbreedte, in het begin der 18de eeuw werden die intervallen nog slechts zoo groot gemaakt, dat er een eskadron van 100 à 150 paarden door kon, eindelijk vinden wij ze in het midden der 18de eeuw nog slechts zoo groot, dat er twee ligte stukken geplaatst kunnen worden.","[(248, 255, 'animals')]",False,
"Invoegen dese woorden te kennen geven, dat de kerke Iesu Christimeer soude willen tegenwoordig zyn als op andere; want overal, waar sig sulke bevinden, die sig als schapen van Iesus vertoonen, dat daar de kerk, en de leger-plaatse van Iesus is.","[(164, 171, 'animals')]",False,
Zeker slag van appelen: is dit een graauwe rabauw?,"[(15, 22, 'plants')]",False,
"Wij merken nog op een studie van Charles Pellarin over het gezamenlijk werken, vooral met het oog op het dorschen van het graan; en een artikel van Tripont over de belastingen.","[(122, 127, 'plants')]",False,
De dappere en kloekmoedige Schaep vond zijn graf in de golven.,"[(27, 33, 'animals')]",False,
"brems = horzel, paardevlieg.","[(8, 14, 'animals'), (16, 27, 'animals')]",False,
De Europésche groenten tieren hier bij uitstek wel.,"[(14, 22, 'plants')]",False,
"Ons Paesch-lam is gheoffert reyn, Ghelijck wy doort gheloof aenschouwen, Comt al ghemeyn Tot Christus die Fonteyn Comt met een goet betrouwen, Om me blyde Feest te houwen.","[(4, 14, 'animals')]",False,
Eene leeuwenjacht.,"[(5, 12, 'animals')]",False,
"Kon CHRISTUS kruis Uw gunst verwerven; Dit is mijn Levensboom, die de Eigenmin doet sterven.","[(51, 61, 'plants')]",False,
"Haer spijse is vleesch, kruyden, Byen en Mieren.","[(24, 31, 'plants'), (33, 37, 'animals'), (41, 47, 'animals')]",False,
"De andere menschen moeten sich contenteren met haar onkunde, en sich dienende van het gebruik van dit kruid fide implicita & constanti, met een blind en vast geloof vertrouwen, dat ik haar als een eerlijk man de ware kragten van de Thee gezegt hebbe, 't bewijs daar van door reden is boven haar begrip, en d' ervarentheit zal haar genoeg sijn, om te ondervinden, dat ik de waarheit gezegt hebbe.","[(102, 107, 'plants'), (232, 236, 'plants')]",False,
"(bis) Ik wierd gewaar alsdat het minnespel Aan mij verbeeldde een tweede hel Hoe dat het leven, haar wou begeven, Hoe dat menig jong gezel Al door den reuk van een zoete roos En door den keus in haren bloos Zoo bij dat riekte, hij hem verschrikte Dat zijn hert bij 't vuur vervroos.",[],True,Multiple occurrences of 'roos' (plants)
"Het is het land van de katoen, van den perzik en den wijngaard, en voor fijnharige schapen schijnt er geen beter oord te zijn.","[(23, 29, 'plants'), (39, 45, 'plants'), (53, 62, 'plants'), (83, 90, 'animals')]",False,
"Verder bezocht hij, nu voor het eerst, de meer noordelijk gelegen zijde-districten, en hoewel hij hier te laat aankwam om de geheele behandeling der zijdewormen door eigen aanschouwing te leeren kennen, deelt hij daaromtrent toch uitvoerige berigten mede, en beschrijft het door hem bijgewoonde zijdespinnen en zijdeweven.","[(149, 160, 'animals')]",False,
"4 Droeve herten doet het quelen, Ende spelen: Iae ‘t verdrijft een swaren geest, Sonder pijn, of sonder knaghen, Alle daghen, ‘t Is een goet dat haest gheneest.","[(9, 15, 'animals')]",False,
"De Roomschen waren te Alphen langen tijd verpligt ter sluik meestal in stallen of schuren hunne godsdienstoefeningen te houden: zoo werd in 1652, wanneer de paep nog in de pastorij woonde die wel 1800 gls 's jaers aen inkomsten gaf, deurgaens de misse gedaen in de schuyre van eenen Carel de Roy, stadhouder van den schout.",[],False,
"Een andere reden, en daar ik 't meest van houw, rolt op deze schijven: ik mein dat het bykomt, om dat de vogelen, veel meer uit 's moeders, dan 's vaders stoffe, bestaan; en, aangezien de wijfkens zoo vuurigh niet en zijn als de mannekens, krijgen zy daar van daan geesten, die, min scherp en vinnich zijnde, de lichamen zoo veel niet afeten, waar deur zy, by gevolgh, langer leven.","[(105, 112, 'animals')]",False,
"Diogenes werd hond geheten, En Epictetus hinkepoot.","[(14, 18, 'animals')]",False,
"De boomen worden ook niet grooter, als de kersche boomen in Holland of Duitschland, apparent zoude deze vrucht volmaakter te cultiveeren zyn, wanneer het land, door een meer arbeitzaam en minder baatzoekend Volk bewoond wierd.",[],True,Multiple occurrences of 'boomen' (plants)
"‘In het Jaar zeventienhonderd drie en twintig, was het primo April alzoo lustig en schoon om te zien in de Hoven en Landsdouwen, als men op andre jaaren half Mey gewoon is te zien; zoo van Kruiden, Bloemen, Bloeisels en Vrugten, gelyk ook het Gras op het veld.","[(189, 196, 'plants'), (198, 205, 'plants'), (207, 216, 'plants'), (220, 227, 'plants'), (243, 247, 'plants')]",False,
"wanneer men 't turend oog Laat waren Op bloem en boom, nog korts zoo schoon, Wie slaakt dan niet een' droeven toon Om 't vallen van hun blâren?","[(40, 45, 'plants'), (49, 53, 'plants')]",False,
"O, dit gebrokene vensterken, waardoor de stormen breken, en de armoê van zijn eerlijk lief, die hadden in 't hert van den eeredief luid moeten van pligten spreken!",[],False,
"Daer schiet het woudzwyn zyn' schuilhoek reeds uit, Ziet hoe de honden het woedend omringen, Jagers, komt, laten wy 't dapper bespringen, Moedig gestreden, het valt ons ten buit!","[(16, 24, 'animals'), (64, 70, 'animals')]",False,
"Ornithopodium, Pes Avis, Vogel-voet.","[(0, 13, 'plants')]",False,
"C. Huygens, Korenbloemen.","[(12, 24, 'plants')]",False,
"Dit doorboren van de Stam des Bóóms, geeft verscheiden voordeelen; men verlost ze van een overvloed van sappen, die hunne vruchtbaarheid belet.","[(21, 35, 'plants')]",False,
"De held van zijnen roman is een beschaafd en jong Katholijk Franschman, die, van een walvischvaarder ontvlugt, zich op een der eilanden redt, en met eene inlandsche vrouw in het huwelijk treedt, die aan de Protestantsche Zendelingen hare opvoeding te danken heeft.","[(85, 93, 'animals')]",False,
"Wel zongen de kikvorschen, in het breede lis en riet, met hun eentoonig gekwaek, een schoonen dag te gemoet; wel fladderde er soms een vogel door het loover heen - maer dat verbrak de majestueuse rust niet.","[(41, 44, 'plants'), (48, 52, 'plants'), (14, 25, 'animals'), (135, 140, 'animals')]",False,
"QUelt my niet meer velt Godin, Laet u sin Strecken tot de soete Min: Soo sal ick u Schaepjes drijven, En altijdt, en altijdt, u Dienaer blijven.","[(83, 92, 'animals')]",False,
heeft den naam ontvangen van kruidje-roer-mij-niet.,"[(29, 50, 'plants')]",False,
"Als ick sagh haer rooder wangen, Daer ick so seer na verlange, En haer ooghjes bruyn als git, En haer tantjes lely wit, Hare soete stem en tale, Klinckt gelijck een Nachtegale, Als ick haer soete stem vernam, Mijn docht, dat ick in den hemel, etc. Haer minnelijcke sangh, Houd mijn herte in bedwang.","[(165, 175, 'animals')]",False,
"- Gelijk een fier, hardbekkig ros, Dat aan zijn' ruiter is ontsprongen, - De manen wild, de teugels los, De tand in 't staal gebit gewrongen - Daar heen stuift, dwars door vlakte en bosch; En door zijn stampend hoefgeklos, Den sperwer met gerezen pennen, De schuchtre ree verjaagt van 't mos - En rustloos, rustloos door blijft rennen, Den bergrug over, diepten door, Den afgrond langs, de winden voor - En op dit nieuwgebakend spoor Geen slagboom vindt, het ergens stuitend: Zóó holt nu, roovend en vrijbuitend, De woestling voort, in dolle vaart, Voor 't wis verderf zich de oogen sluitend, En schrik verspreidend door zijn zwaard!","[(288, 291, 'plants'), (30, 33, 'animals'), (227, 234, 'animals'), (268, 271, 'animals')]",False,
"Wat men sal doen wanneer een muys, ratte &c. de Hostie gegeeten hebben.","[(29, 33, 'animals'), (35, 40, 'animals')]",False,
"De onderwysende Tsaemenspraecken der Beesten, eerst in het Griecx beschreven door den H. Cyrillus; met Dichten en Sluytredens versiert, 1666.","[(37, 44, 'animals')]",False,
"Zoo vaak wordt het vlammende zwaard hem verleend, U was hij in bloemen verborgen!","[(63, 70, 'plants')]",False,
"En hierop plotseling zijn paard op de achterpooten doende omwenden, reed hij Lerwick weder uit langs denzelfden weg, waarop hij er gekomen was, doch niet zonder alvorens nog een' vurigen blik op de schoone eda geworpen te hebben.","[(26, 31, 'animals')]",False,
"En dat wyze vroome lui ook nog, zo als daar is Dominé, die my en anderen de weg moet leeren, die heeft de kat de bel aangedaan, het ergst gelooft, en in commissie gelogen.","[(106, 109, 'animals')]",False,
"’ - ‘Vent, waar heb je uw gans gekregen?","[(26, 30, 'animals')]",False,
"vervolgens ging men van den waterkant, langs een breeden weg, naar een Dorp, het welk zonder eenige orde of regel was aangelegd, staande alle Huizen overal tusschen de Boomen in.","[(168, 174, 'plants')]",False,
"Gy schonkt dat schuldloos hert, gy schonkt het in uw zorgen Een stillen avondstond, een heldren blyden morgen!","[(26, 30, 'animals')]",False,
"De boksvoet Pan danste daarin een ballet in gezelschap der herderen van Palestina, en onder de oogen des patriarchs en der dochteren van Laban.","[(12, 15, 'animals')]",False,
Van een losbol.,[],False,
"Eene tweede kenmerkende eigenschap der splijtzwammen is de buitengewone snelheid, waarmede zij zich vermenigvuldigen, wanneer aan de voorwaarden voldaan is, die gunstig zijn voor hare ontwikkeling.","[(39, 52, 'animals')]",False,
1125 Katoen 2 2 3 5 Aan de rijweg (zeekust.,"[(5, 11, 'plants')]",False,
"- De Hoogleeraar geeft zig vooraf de moeite, om ons met de denkbeelden der Ouden, omtrent deezen taak der natuurkunde, bekend te maaken; en om ons te doen zien, welke soorten van Aapen de Ouden beschreeven hebben, ten einde, om, in de eerste plaats, met een opslag van het oog, by het leezen van Aristoteles, Galenus en Plinius, het Dier te kunnen vergelyken met onze benaamingen.","[(179, 184, 'animals')]",False,
"Alle dagen byten de koeijen of de schapen myne bloemkens af, of ze trappen my te pletteren, dat ik in geene dry maenden op myn zelven kom.","[(47, 56, 'plants'), (20, 27, 'animals'), (34, 41, 'animals')]",False,
