,sentence,label
19,"- Op eenmaal verhief zich het vliegend sneeuwvlokje (poëtisch gezegd) hooger, en fladderde op de vensterbank, klapwiekte daar regt vertrouwelijk, en na weinige oogenblikken vloog het lieve, onschuldige diertje vlak voor mij, naast den inktkoker, en bleef zeer rustig zitten.","[(202, 209, 'animals')]"
20,herman pyls van 2 lampen ende van een olykan ende oeck van peeren ende witbroet dat in die gerwecamer gebesicht wort doe men dat heilichdom toende te samen 8 cr.,[]
21,"f 2-14-: De geschiedenis van 's Heilands lijden moest wel de meest gekende bij ieder' Christen zijn, daar dezelve jaarlijks voor iedere gemeente behandeld wordt.",[]
22,"’ - Een verzoek van zijn' vader, was voor den goeden ferdinand zoo veel als een bevel; hij ging dan, doch vond de juffer en hare tante niet te huis, en keerde denzelfden dag terug, verheugd, dat (zoo als hij in zijn binnenste dit noemde) het geluk hem gediend had.",[]
23,"ZIet Joseph, Rachels zoon, en Jakobs staf en stut, Hier slaepen in de hey, by dien bemoschten put; Waer langs de heirbaen loopt naer Dothan, en die weien, Daer hy zijn broeders zoeckt: terwijl wy hemelreien, Door last des hemelvooghts, hem naerstigh gade slaen, Die zich, te nacht heel spa, toen d'ondergaende maen In 't gras viel, hier, vermoeit van reizen, neêr ging leggen, In woest en eenzaem veldt, begroeit met ruighte en heggen; Als of hy d'Engelen en Godt, die overal Met zoo veel starren waeckt, alleen de wacht beval, En onbekommert was voor onraet, en voor dieren, Die in dees wildernis, van dorst of honger tieren.","[(321, 325, 'plants'), (417, 424, 'plants'), (428, 434, 'plants'), (568, 574, 'animals')]"
24,"Aan hunne bestemming beantwoorden ze, en is het den visch te wijten, dat deze niet vliegen, den vogel, dat hij niet zwemmen kan?","[(52, 57, 'animals'), (96, 101, 'animals')]"
25,"Te vergeefsch hebben wij allen ons met de hoop gevleid, dat zij beter wierd; dat de tijd, en zorgvuldige oppassing van onze zijde haar geheel herstellen zouden: ik lag zelfs wat overhoop met onzen Doctor, om dat die ook, toen ik mij alles goeds beloofde, mij nooit konde belooven, dat zijne beminnelijke zieke weldra zo gezond zijn zoude, dat hij niet dan als vriend van ons huis, bij ons konde komen - hij zeide zelfs aan mijne Moeder dat hij vreesde voor het leven haarer lieve Nicht - mij dacht, ik had eenige dagen de ondervinding vóór mij; en zij is tog de beste leermeestresse - keetje scheen mij iet beter, en hoewel zij noch at noch sliep, zo als ik wel wenschte, hoopte ik tog dat haare jeugd, en de tedere zorgvuldigheid van ons allen, niemand uitgezonderd, haar aan onze vuurigste wenschen zouden wedergeeven - zij was zo gehoorzaam aan alles wat mijne Moeder, en de Doctor haar raadde - zij poogde, zo van harten het haare tot haare herstelling toetebrengen - zij begon zelfs weder aan het leven gehecht te worden - zij zag, zij erkende dat zij ons allen, niet alleen aangenaam maar dierbaar was; en haare liefde voor mijne Moeder.... waarlijk, naatje!",[]
26,"'t Was weinig; maar hij had ook geene prachtige vertrekken en gasthofdisch noodig, gelijk er Emiel en Bruno betalen konden.",[]
27,"DE Meerkatten zijn van een sonderlinge snedigen aert en verstant, ende om haer potsemaeckery bemint, sy zijn snedigh in alle loosheyt, somtijts een mensch alleen siende, komen sy af om met hem te speelen: breecken de tacken van de bomen, en werpense de Voor-by-reysende naer het hooft.","[(231, 236, 'plants'), (3, 13, 'animals')]"
28,"Deze Bakker knijpt de bollen; Maar hij knijpt ze niet te ligt; Neen, ô neen!",[]
29,"Het was eene heerlijke groene vlakte, met drie breedgetakte eikenboomen in het midden en een effen grasveld om crocket op te spelen.","[(60, 71, 'plants'), (99, 107, 'plants')]"
30,"De eerste, (ik spreek van eene zyde de lichaams) der Lendenen spier, in de tweeënvyftigste Aftekening met de letter K. in zyn plaats en L. eenigzints gescheiden, afgebeeld, zoo aan de bekleedzelen der benedenste wervelbeenderen van de Borst, als bovenste der Lendenen, verbonden, zet zich aan het voorste en bovenste gedeelte van den kleenen Draaijer, of uitstek des Dyegebeentens, vast.",[]
31,Zijn compagnon was oud en suf...,[]
32,"Armoede en Weldadigheid, door Mevrouw Elise van Calcar, geb. Schiolling.",[]
33,"Ik weet dan, schrei ik nu: Gy zult eens met meêdoogen Mijn zilte traanen droogen, En storten uwen zegen Met volle stroomen uit, Gelijk een milden regen Op 't schier verwelkert kruid.","[(176, 181, 'plants')]"
34,"17 Maer de vijf mannen, die gegaen waren om het lant te verspieden, gingen op, quamen daer henen in, namen wech het 18 Als 19 Ende sy seyden tot hem; Swijght, 20 Doe wert het 21 Alsoo keerden sy hen, ende togen voort: ende sy stelden de kinderkens, ende het vee, ende de 22 Als sy nu verre van Michas huys gekomen waren, soo werden de mannen, 23 Ende sy riepen de kinderen Dan na; dewelcke hare aengesichten omkeerden, ende seyden tot Micha; wat is u, dat ghy by een geroepen zijt?","[(258, 261, 'animals')]"
35,"En of haer maeghden slaen, en op den vogel kijven, En soucken met gebaer den arent vvech te drijven, Noch grijpt hy veerdigh toe, en met een snellen vlucht, Soo svviert hy met den roof tot boven in de lucht.","[(37, 42, 'animals'), (77, 82, 'animals')]"
36,’ In dit opzigt nu mogen wij zeggen dat zoowel de Heer van Rees als de Heer Fruin heeft geschreven zonder om te zien.,[]
37,"De afstand van de monding van het voorgaande stuk tot aan de hoofden van de voorspanpaarden van het volgende stuk is 4 pas, tenzij de bediening achter het stuk marcheert, dat dikwijls voorkomt.","[(76, 91, 'animals')]"
38,"Myn heer, hier is Tabak en pypen; Daer staet het vuur.","[(18, 23, 'plants')]"
39,"Ik quam zeer jonk ten Hoof, maer bleef niet zoo 'k 'er quam, Ik was in al mijn doen als een onnozel lam, Ik was oprecht, en slecht, maer ach! 't verkeerde vaerdig, Want die ten Hove leefd, word met het Hof eenaerdig, Boosachtig wierd mijn hert, bedrieglijk mijne grond, Geveynsdelijk mijn tong, en dubbeld mijne mond; Ootmoedig was ik eerst door schaemte neer geslagen, Daer na brocht my het Hof tot eygen wel behagen; 'k was machtig en geschikt, maer viel door overdaed; Ik scheyde van het goed, en keerde tot het quaed; Ik leerden dertel zijn, met grooten grootsheyd plegen; Mijn meerder eerden ik, mijn minder viel ik tegen; De staet-zucht dreef my aen na Hoofsche eer te staen, Ia, daer en mocht met my nauw yemand ommegaen; Te vooren had ik God den Heer altijd voor oogen, Maer 't Hof en wild' in my die oeff'ning niet gedogen; Ik hielt wel rekening in 't tijdelijke goed, Maer zelden heb ik daer gerekend in 't gemoed; Vaek zocht ik uyt een lust in aerdsche schat te spelen, Maer zelden om van dien den armen meê te delen; Ik zocht begeerlijkheyd alleenig te voldoen, Om dat staet-zuchtig hert in die begeert te voên; 'k Hield rekening in tijd, niet om in deugd te leven, Maer, om dat my de tijd zou mogen wellust geven; 'k Hield rekening met die, die schuldig was aen my, En ging den armen mensch in zijnen noot verby; 'k Hield rekening, dat my te wil, mijn dienaers dienden, En niet hoe dat ik zou bedienen Godes vrienden; 'k Hield rekening, dat men my dienden wel te pas, En niet hoe veele dienst ik Gode schuldig was; 'k Hield scherpe rekening, om 't leven lang te hoeden, En niet om dat, helaes!","[(100, 103, 'animals')]"
40,"De overgang, van twyfeling en sterken tegenstand tot toestem-ming en volkomen overtuiging, is somtyds vreemd en zonderling; en dat te meer, omdat voorhout ook nog ter gelyker tyd over de voornaamste geschilpunten met Protestantsche Leeraaren geraadpleegd, en daaromtrent zelfs, met dezen en genen van zyne Protestantsche vrienden, eene vertrouwde briefwisseling gehouden heeft, waaruit hy, volgends 't geen daarvan in deze Verantwoording is medegedeeld, ten minsten nu en dan, (want men kan niet zeggen, dat hy by allen altyd even goed te regt geraakt is,) vry wat stof tot nadenken, over den onvoldoenden redeneertrant van schouten, had kunnen krygen.",[]
41,Op den grond des vats vindt men de hef.,[]
42,"dees zaak is vol gevaar, nadien Popil 't Oproerig graauw heeft op zyn handt, en waar hy wil Die Hydra met zich sleept, 't zyn ysselyke tanden Daar dat gedrogt meê dreigt.","[(96, 101, 'animals')]"
43,"8 Daer toe doodden sy boven hare verslagene, de 9 Maer de kinderen Israëls namen de wijven der Midianiten, ende hare kinderkens gevangen: sy roofden oock alle hare beesten, ende al haer vee, ende al haer vermogen.","[(164, 171, 'animals'), (186, 189, 'animals')]"
44,Wat dunckt u van dien haen?,"[(22, 26, 'animals')]"
45,"Op deze rondgevoerd, zien wij nu digte houtwallen, dan een open: hier het geboomte schilderachtig tegen de duinen opklimmen, dáár met abeelen- en berkenstammen aardig in het watervlak zich spiegelen, ginds met donker loof bevallig tegen het goud der akkervelden of het malsche klaver-groen der weiden afsteken.","[(39, 49, 'plants'), (74, 82, 'plants'), (134, 141, 'plants'), (146, 159, 'plants')]"
46,"Ga dus, sprak ik, getrouwe slavin, bespied hare treden; Ga, vermeld mij haar lof, vermeld mij de wijkplaats der hinde.","[(112, 117, 'animals')]"
47,"Eau de harquebusade, om te laten ruiken.",[]
48,Het eenige middel tegen dit kwaad is dat men het voorkome.,[]
49,"5e dr. - Op nieus verrijkt met een Bijvoegsel van Muzyk, nooit voor dezen gedrukt.",[]
50,"Hij kon even goed den ratelenden donder en het gebrul der leeuwen nabootsen, als de teedere toonen van den nachtegaal; ook was, zoo lang dawoed leefde, geen toonkunstenaar of zanger in gansch Israël te vinden, dewijl niemand, die hem eenmaal gehoord had, immer meer in iets anders vermaak kon scheppen.","[(58, 65, 'animals'), (107, 117, 'animals')]"
51,"Wel - Neen, een paar violen scheiden ze van elkander; de muziek verzacht hun gemoed.","[(21, 27, 'plants')]"
52,"Uitvoeriger behandeld dan de lijst van den Gelderschen Volks-Almanak gedoogde dit de Betuwsche Novellen te doen, hebben zij met deze gemeens, dat zij ons geheel onder wat wij aanmatigend genoeg boerenmenschen noemen verplaatsen, verdienen zij eene tweede uitgave boven deze, dewijl elk der drie vertellingen door eene hoofdgedachte wordt beheerscht, die ge hoort aangeven, die ge ziet uitwerken.",[]
53,"Na zich vervolgens met der woon te Lingen gevestigd te hebben, werd hij aldaar in 1802 tot hoogleeraar in de letteren en oudheden aan de Illustre school en tevens rector der Latijnsche scholen aangesteld, welke beide bedieningen hij tot de opheffing der eerstgenoemde school in 1820 heeft waargenomen.",[]
54,"T' Samen spraak Toon, Belle iris.","[(22, 32, 'plants')]"
55,"En hy verdeelde zich tegen hen des nachts, hy en zijne knechten, en sloeg ze: en hy jaagde ze na tot Hoba toe, welke is ter linkerhand van Damascus.",[]
56,"Zel ik je verslaen, dat je den Aerend van Suipitaer zelt zien en hooren, Spreekende of 't ien leevendig mensk waer; beneffens den Draek, Pikton genaemd, die zyn snaeter zel roeren, as Lobbetje Labbekaek.","[(31, 37, 'animals'), (130, 135, 'animals')]"
57,"Ware toch in hetgeen men over percussie en auscultatie, met naauwkeurigheid, maar niet overal even duidelijk, uit Fransche schrijvers bijeengebragt vindt, de arbeid van des schrijvers landgenooten, zehetmaijer en skoda, vooral de natuurkundige verklaringen van den laatstgenoemden, niet veronachtzaamd, wij zouden verschoond zijn gebleven van dergelijke onverklaarbare plaatsen, die een struikelblok zijn voor den toelichtenden vertaler, als D. I, p. 86: ‘wanneer een longlap(!), zooals becquerel zich uitdrukt, zich reeds in den 2den graad (liever tijdperk) van ontsteking bevindt, zou een jong geneeskundige den toon zelfs helder kunnen vinden bij gebrek aan oefening.",[]
58,"Zwolse persik is van vele soorten, maar deurgaans in dubbelde en gemene onderscheiden: maar de eerste zyn de beste.",[]
59,"bl. 277; Boon van Engelandt, Ged.","[(9, 13, 'plants')]"
60,"Slingren zich om d'ouden olmboom, Die, vermolmend, groent noch leeft, Maar aan 't spigtig klimmend loover, Na zijn' dood, nog steunsel geeft.","[(25, 32, 'plants'), (99, 105, 'plants')]"
61,"Vooral munt de Heer van Haastert uit, in het zagt schilderen.","[(7, 11, 'plants')]"
62,"Turbith of turpethum, vreemde purgeerende Heemst.","[(0, 7, 'plants'), (42, 48, 'plants')]"
63,(Naar het Hoogd.,[]
64,", langer maken: eenen rok lengen.",[]
65,"Menigeen, zoo besluit Kraus zijn belangrijk opstel, ‘is over deze uitkomst wellicht even zoo verbaasd als ik zelf geweest ben. Het klinkt inderdaad haast fabelachtig, dat de groene plantendeelen op het oogenblik, dat zij door een lichtstraal getroffen worden, met zulk eene kracht zetmeel zouden vormen als gevolg der assimilatie.","[(174, 194, 'plants')]"
66,- Wat moet gij hebben?,[]
67,"Dat wil zeggen, ergens daar hy niet bedreven is.",[]
68,"Dit is zonder twijfel een fout van het Zendelinggenootschap, en een zeer verderfelijke fout ook.",[]
69,"Reeds lang verwonderde het ons, dat de uitmuntende Idéën van heeren, deze schatkamer van gewigtige uitkomsten voor den meer dan oppervlakkigen beoefenaar der oude Geschiedenis, nog niet uit het Hoogduitsch vertaald zijn, daar men die eer (zoo het eene eer is) toch aan de ergste prullen bewijst, die niet geschikt zijn, dan om den tijd te vermoorden, en wij b.v. een' geheelen stapel Werelden voor ons hebben liggen, door het vruchtbare brein van Duitsche Scheppers elk op zijne wijze voortgebragt; Werelden, die wel ligt en digt zijn opgetrokken, maar er ook zoo verward en chaotisch uitzien, dat wij ons al zuchtend de moeite voorstellen, die te moeten doorworstelen.",[]
70,"'s Nanoens sijn mede derwaerts aengevoert noch twee sware stucken canon, werdende ider getrocken door 18 paerden.","[(105, 112, 'animals')]"
71,"'t Was op de dorre-somen Van d' Oceaanse-stromen, In 'tgoudrijk-Africa, Benoorden Phoebi-paden, Op d' hoogte van vijf graden Sloeg hy sijn Beesjes gá.","[(139, 146, 'animals')]"
72,"41 42 Ende si hebben hem ghebrocht een stuck van eenen ghebraden visch, ende wat van honich raten.","[(65, 70, 'animals')]"
73,: kweappel: ik zal u graeuwe queappels plukken.,"[(29, 38, 'plants')]"
74,"De mensch heeft, gebruik makende van zijn meer voordeelige organisatie, misschien van een kleine fysieke superioriteit, de andere diersoorten er onder gehouden.","[(130, 141, 'animals')]"
75,"Alle verantwoordelijkheid rust hierin op het Ministerie, dat als uitgaande van de natie, de eigentlijke Regeering is.",[]
76,"Onder sijnen vvijnstock vvoonen, dat is, seker ende gerustelick, 1.","[(13, 23, 'plants')]"
77,"Het Hof van Holland Hertog van Bourgondie, Graaf van Holland enz. geworden, wikkelt de Landzaaten in eenen Oorlog met Engeland in.",[]
78,"’ Hier deed ze een oogwenk slechts het slangenhaar krioelen, En d' overwonnen slaaf den bliksemgloed gevoelen, Die uit haar oog hem diep in 't krimpend harte vloog.",[]
79,Welk een grootmoedigheid blinkt u ten oogen uit!,[]
80,Hy zwymt by 't denkbeeld aen den Schepper uwer klaerheid.,[]
81,"Zweserikken van kinderen, Cab.","[(0, 11, 'animals')]"
82,"Waarlijk, dan zou uw geloof al zeer zwak zijn!’ enz. Het derde Hoofdstuk bevat een algemeen overzigt over het verband en den zamenhang der menschelijke wetenschappen, (bl. 103-277.) Na eerst het onderscheid tusschen wetenschap en kunst naauwkeurig te hebben bepaald, toont de Schrijver aan, door welke middelen wij in het algemeen wetenschap en kunstvermogen verkrijgen.",[]
83,"Is hy daar in dan ook Gods aap, so moet ik wel bekennen, quod sit facile aliquid addero inventis, dat een die nakomt lichtelik iet naders kan bedenken boven 't gene dat een ander uitgevonden heeft.","[(27, 30, 'animals')]"
84,"27 O Heilige Iesus, hier beneden Ontfangen in Mariaas leden, Wien, door den Geest der heiligheit, Het heilig lichaam is bereidt; Wy eeren u als Davids zaadt, Des menschdoms hulp en toeverlaat.",[]
85,"Op eens schoot mg in gedachten mij van haar tot voedsel te bedienen; het was mij bekend, dat men de venijnigste slangen, zoo als de Naga bij voorbeeld, konde eten, en dat men ze zelfs in geneesmiddelen en afkooksels gebruikte, om die genen hunne krachten weder te geven, die aan slepende ziekten geleden hebben, of door de tering bedreigd worden; ook wist ik zeer wel, dat haar venijn zich niet dan in twee kleine blaasjes achter de bovenste hondstanden bevindt, zoo dat ik geene de minste zwarigheid maakte mij van die gene te bedienen, die ik doodde.","[(112, 119, 'animals')]"
86,"Paarden en sleeden, wagens en rydtuigen van allerlei soort, op loopyzers geplaatst, doorstreeven de golf en meiren langs de zyden der Schepen heen, die in het ys beklemd liggen, en, om zo te spreeken, versteld staan, op dit element zich dus omringd te vinden.","[(0, 7, 'animals')]"
87,"In de Oostersche landen, maken de dadels in suiker of in hun eigen zacht uitgeperst sap ingelegd een voornaam dagelijksch huisgerecht uit.","[(34, 40, 'plants')]"
88,"Den 16 Junij 1833 uit de gevangenschap in Frankrijk teruggekeerd nam hij zijne plaats weder in in het Ned. leger, totdat hij in October 1835 op pensioen werd gesteld.",[]
89,"niet al die lijken, wreed geschonden?",[]
90,"Maar elk vogeltje zingt, zooals het gebekt is; en mijn platte tongval belet niet, dat ik trotsch ben op mijn geboorteland.","[(9, 17, 'animals')]"
91,(martha verlaat weenende de kamer; van heul ziet haar medelijdend na.) Arm schepsel!,"[(75, 83, 'animals')]"
92,"Hier staat nog te considereeren, dat deze gezeyde Moer-koekjens by zommige Autheuren geheeten zyn Maatjens, Acetabula; maar dewyl andere hier mede alleen betekenen zekere kleene holletjens, die men in de uytgesette en verheevene deelen van de Baarmoeder der Koeyen vind, terwyl ze bevrugt zyn: zoo dunkt het my beter te zyn, de benaminge van Moer-koekjens te behouden, aangezien zulks een yder kennelyker is.","[(258, 264, 'animals')]"
93,- Ga met ons!,[]
94,"Evenals de Staat reeds nu posterijen en telegrafie beheert, evenals hij domeinen bezit, spoorwegen exploiteert, in enkele landen de regie van den tabak bezit, zou de Staat achtereenvolgens eigenaar en exploitant kunnen worden van alle fabrieken, vervoermiddelen, spoorwegen, magazijnen, enz. Maar op die wijze versterkte men weder den Staat der ‘burgerij,’ der kapitalisten.","[(146, 151, 'plants')]"
95,"Eendragt is noodig in uwen Staat, en 't betaamt wyzen en braaven luiden, na 't voorstellen en aandringen van hun byzonder gevoelen, zig te onderwerpen aan het meerder getal: vooral, in Volksregeeringen, waar geen hoofd is, welk magt heeft, om het gevoelen, welk hem best schynt, te doen volgen.",[]
96,"Want wat ben ick sonder u, dan een wijngaert-ranck buyten den wijn-stock, eenen boom sonder wortel, en een lichaem sonder ziele?","[(35, 50, 'plants'), (80, 84, 'plants')]"
97,"(Janssone treedt op langs den achtergrond.) Welke vreugde voor de Veurner Leliaarts, indien het hun gelukte de hand te leggen op Jakob Peyt, den hoofdman der Karels van Cassel, Duinkerke en Winoxbergen!...",[]
98,"Dat was, werentig, der katze nicht die je zocht: ik loof je voert om baat; Hoe licht krijg m' ook een streek uit de pan, aster zo bezukt hiet van de rooster gaat: Dat zouwen 'er wel zeuven zeggen, wel te verstaan as zy 't maar wisten: O bloedt!","[(23, 28, 'animals')]"
99,", (muz.) vrij, ongebonden; alzoo de noten niet slepend, maar afgezonderd en afgestooten.",[]
100,Ontzaglijke hoeveelheden sprinkhanen werden binnen weinige dagen gedood en hunne overblijfsels verbrand.,"[(25, 36, 'animals')]"
101,"Om alle achterdocht te voorkomen, ging hij uit de stad, om een bezoek af te leggen bij den Honourable Augustus Flairs, wiens landgoed, zoo als gij weet, dertig mijlen van hier ligt, van niemand dan van zijnen gelief-koosden tijgerhond vergezeld.","[(224, 234, 'animals')]"
102,Deze duurde echter slechts korten tijd en spoedig daarna begon de zoogenaamde ‘Vlaamsche beweging’.,[]
103,"Doch het ontwikkelde zich eerst regt, toen hij openlijk als schrijver optrad.",[]
104,"En dit wordt nu vervolgens zoo ontwikkeld, dat aangewezen wordt, hoe in onze schatting de voorregten, die men bezit, en de daden, die men verrigt, op den voorgrond staan; in de schatting van Gods evenbeeld, jezus christus, daarentegen de wijze, waarop die voorregten gebruikt worden, en de beginsels, waarop die daden rusten (beter zekerlijk: ‘waarvan die daden uitgaan’).",[]
105,"Amsterdam, in Juni, 1876.",[]
106,"De indeeling maakt het overzien van deze of die gebeurtenis, periode enz. gemakkelijk.",[]
107,"Wel, arme vrouw, men heeft u zeker uwe kinderen verruild; want, kijk, deze hebben ook allen vier beenen!",[]
108,"Een Lichaam zonder Ziel, een Schepsel van geen waarde.","[(29, 37, 'animals')]"
109,"De muil is gewapend met twee rijen tanden; de gevaarlijkste daarvan zijn de slagtanden, die, in de bovenkaak vóór de overige tanden geplaatst, het dier in staat stellen, zijne prooi te grijpen en vast te houden.","[(3, 7, 'animals')]"
110,"Ha handen over-sterck, die met der ijl en baerde Verbraken Leeuwen muyl, en maeyden op der aerde De oudt-beruchte roem, een gheessel der Hebreen, Soeckty maer uwe lust by deze Vrouw alleen?","[(59, 66, 'animals')]"
111,"Dat aan commissarissen strenger verpligtingen worden opgelegd, maar hun dan ook grooter magt toegekend worde bij hunne contrôle, opdat niet, zoo als nu, het goedwillig en goedgeloovig publiek reddeloos overgeleverd zij, als onnoozele schapen, aan de ruwe hand van den vaak roekeloozen scheerder.","[(234, 241, 'animals')]"
112,"Terwijl zij nu op de krakende sneeuw als vastgeworteld stond, klinkt er op eens in de verte een dof geruisch, en het trappelen van paarden over de vastbevrozen sneeuw haar tegen, en - bliksemsnel komt de gedachte in haar op: ‘Welligt zijn het roovers, die dit van de menschen verlaten oord voor hunne misdadige vereenigingsplaats hebben uitgekozen.","[(131, 138, 'animals')]"
113,Nae dese volchden de Trompetten der Staten / met de Heeren Staten / eerst de Ghedeputeerde der Steden / daer nae de Edele van Brabant.,[]
114,; Zamenspraak wegens de oorzaken van het bederf der Nederl.,[]
115,Vee wordt van daar verkreegen in groote menigte en voor een laagen prys.,"[(0, 3, 'animals')]"
116,"De grote Groenlandsche Walvisch is den Yslanderen te min onbekent, vermits zy hem zeer dikwerf zien; en nadien hy een gladde rug zonder Flosvinnen heeft, noemen zy hem Stetbakur, dat is Gladrug.","[(9, 31, 'animals'), (168, 177, 'animals')]"
117,"Sa, lustig onse kat heeft jongen!","[(16, 19, 'animals')]"
118,"d'Echoos souden ook haar stemmen Met my menglen, kleen en groot.",[]
119,Zoude het spreekwoord daar van wel spruiten?,[]
120,"nôu weetje zoo wat, hoe de Haagse kerremis der ûitziet, en as je me brief lees, dan zeggie dadeluk: - ‘Beste Oome, ik kom stellig de peentjes bêi je opscheppe!","[(133, 141, 'plants')]"
121,"Den bliksem leidt hij onschadelijk van den hemel af, en millioenen malen sneller dan de adelaar vliegt vliegen op de vleugelen der electriciteit zijn gedachten voort, hechten volken, werelddeelen aan elkaar en doortrillen de zwijgende diepten van den oceaan.","[(88, 95, 'animals')]"
122,"de Grave van Hertzberg, Curator der Akademie, las vervolgens de namen op der nieuw verkoren honoraire Leden; zynde de Heeren P. Kamper, beroemd Natuuren Ontleedkundige, in Holland, een der agt buitenlandsche Leden van de Akademie der Wetenschappen, te Parys; Hirchel, vermaard Sterrekundige, te Londen; Georgi, Hoogleeraar te Petersburg; Schwab, Hoogleeraar in de Wysbegeerte, te Stuttgard; en Muller, Predikant te Schwelm, in 't Graafschap Mark, die zig met lof heeft doen kennen, door zyne schriften, byzonderlyk door zyne Aardryks- en Sterrekundige Werken.",[]
